decalage	unique	phase	marge	rx_avant	daram_len	vraies	mots_distincts	crc_ok	sb_tentees
-5	1	0.2	41	0	380	0	3	3	42
-5	1	0.2	41	1	296	0	2	2	35
-5	1	0.2	41	1	380	0	2	2	35
-5	1	0.3	0	0	296	0	2	2	41
-5	1	0.3	0	0	380	0	2	2	41
-5	1	0.3	0	1	296	0	2	2	37
-5	1	0.3	0	1	380	0	2	2	37
-5	1	0.3	10	0	296	0	4	4	41
-5	1	0.3	10	0	380	0	4	4	41
-5	1	0.3	10	1	296	0	3	3	38
-5	1	0.3	10	1	380	0	3	3	38
-5	1	0.3	21	0	296	0	2	2	42
-5	1	0.3	21	0	380	0	2	2	42
-5	1	0.3	21	1	296	0	1	1	35
-5	1	0.3	21	1	380	0	1	1	35
-5	1	0.3	30	0	296	0	2	2	42
-5	1	0.3	30	0	380	0	2	2	42
-5	1	0.3	30	1	296	0	1	1	36
-5	1	0.3	30	1	380	0	1	1	36
-5	1	0.3	41	0	296	0	2	2	40
-5	1	0.3	41	0	380	0	2	2	40
-5	1	0.3	41	1	296	0	2	2	36
-5	1	0.3	41	1	380	0	2	2	36
-5	1	0.4	0	0	296	0	2	2	42
-5	1	0.4	0	0	380	0	2	2	42
-5	1	0.4	0	1	296	0	4	5	37
-5	1	0.4	0	1	380	0	4	5	37
-5	1	0.4	10	0	296	0	2	2	43
-5	1	0.4	10	0	380	0	2	2	43
-5	1	0.4	10	1	296	0	1	1	37
-5	1	0.4	10	1	380	0	1	1	37
-5	1	0.4	21	0	296	0	1	1	42
-5	1	0.4	21	0	380	0	1	1	42
-5	1	0.4	21	1	296	0	1	1	38
-5	1	0.4	21	1	380	0	1	1	38
-5	1	0.4	30	0	296	0	2	2	40
-5	1	0.4	30	0	380	0	2	2	40
-5	1	0.4	30	1	296	0	1	1	36
-5	1	0.4	30	1	380	0	1	1	36
-5	1	0.4	41	0	296	0	2	2	42
-5	1	0.4	41	0	380	0	2	2	42
-5	1	0.4	41	1	296	0	2	2	35
-5	1	0.4	41	1	380	0	2	2	35
-5	1	0.5	0	0	296	0	3	3	42
-5	1	0.5	0	0	380	0	3	3	42
-5	1	0.5	0	1	296	0	3	3	36
-5	1	0.5	0	1	380	0	3	3	36
-5	1	0.5	10	0	296	0	2	2	43
-5	1	0.5	10	0	380	0	2	2	43
-5	1	0.5	10	1	296	0	1	1	37
-5	1	0.5	10	1	380	0	1	1	37
-5	1	0.5	21	0	296	0	5	5	42
-5	1	0.5	21	0	380	0	5	5	42
-5	1	0.5	21	1	296	0	5	8	37
-5	1	0.5	21	1	380	0	5	8	37
-5	1	0.5	30	0	296	0	1	1	43
-5	1	0.5	30	0	380	0	1	1	43
-5	1	0.5	30	1	296	0	2	2	36
-5	1	0.5	30	1	380	0	2	2	36
-5	1	0.5	41	0	296	0	2	2	43
-5	1	0.5	41	0	380	0	2	2	43
-5	1	0.5	41	1	296	0	1	1	36
-5	1	0.5	41	1	380	0	1	1	36
-5	1	0.6	0	0	296	0	2	2	42
-5	1	0.6	0	0	380	0	2	2	42
-5	1	0.6	0	1	296	0	3	3	37
-5	1	0.6	0	1	380	0	3	3	37
-5	1	0.6	10	0	296	0	3	3	43
-5	1	0.6	10	0	380	0	3	3	43
-5	1	0.6	10	1	296	0	3	4	37
-5	1	0.6	10	1	380	0	3	4	37
-5	1	0.6	21	0	296	0	1	1	41
-5	1	0.6	21	0	380	0	1	1	41
-5	1	0.6	21	1	296	0	2	4	37
-5	1	0.6	21	1	380	0	2	4	37
-5	1	0.6	30	0	296	0	1	1	43
-5	1	0.6	30	0	380	0	1	1	43
-5	1	0.6	30	1	296	0	1	1	37
-5	1	0.6	30	1	380	0	1	1	37
-5	1	0.6	41	0	296	0	2	2	42
-5	1	0.6	41	0	380	0	2	2	42
-5	1	0.6	41	1	296	0	3	3	37
-5	1	0.6	41	1	380	0	3	3	37
-5	1	0.7	0	0	296	0	1	1	44
-5	1	0.7	0	0	380	0	1	1	44
-5	1	0.7	0	1	296	0	1	1	37
-5	1	0.7	0	1	380	0	1	1	37
-5	1	0.7	10	0	296	0	1	1	44
-5	1	0.7	10	0	380	0	1	1	44
-5	1	0.7	10	1	296	0	2	2	37
-5	1	0.7	10	1	380	0	2	2	37
-5	1	0.7	21	0	296	0	4	4	42
-5	1	0.7	21	0	380	0	4	4	42
-5	1	0.7	21	1	296	0	2	2	37
-5	1	0.7	21	1	380	0	2	2	37
-5	1	0.7	30	0	296	0	3	3	44
-5	1	0.7	30	0	380	0	3	3	44
-5	1	0.7	30	1	296	0	4	6	37
-5	1	0.7	30	1	380	0	4	6	37
-5	1	0.7	41	0	296	0	1	1	43
-5	1	0.7	41	0	380	0	1	1	43
-5	1	0.7	41	1	296	0	3	4	36
-5	1	0.7	41	1	380	0	3	4	36
-5	1	0.8	0	0	296	0	2	2	42
-5	1	0.8	0	0	380	0	2	2	42
-5	1	0.8	0	1	296	0	1	3	36
-5	1	0.8	0	1	380	0	1	3	36
-5	1	0.8	10	0	296	0	1	1	43
-5	1	0.8	10	0	380	0	1	1	43
-5	1	0.8	10	1	296	0	2	2	37
-5	1	0.8	10	1	380	0	2	2	37
-5	1	0.8	21	0	296	0	2	2	43
-5	1	0.8	21	0	380	0	2	2	43
-5	1	0.8	21	1	296	0	2	4	36
-5	1	0.8	21	1	380	0	2	4	36
-5	1	0.8	30	0	296	0	1	1	42
-5	1	0.8	30	0	380	0	1	1	42
-5	1	0.8	30	1	296	0	1	1	38
-5	1	0.8	30	1	380	0	1	1	38
-5	1	0.8	41	0	296	0	1	1	42
-5	1	0.8	41	0	380	0	1	1	42
-5	1	0.8	41	1	296	0	2	3	38
-5	1	0.8	41	1	380	0	2	3	38
-5	1	0.9	0	0	296	0	2	2	42
-5	1	0.9	0	0	380	0	2	2	42
-5	1	0.9	0	1	296	0	3	5	35
-5	1	0.9	0	1	380	0	3	5	35
-5	1	0.9	10	0	296	0	2	2	42
-5	1	0.9	10	0	380	0	2	2	42
-5	1	0.9	10	1	296	0	2	3	37
-5	1	0.9	10	1	380	0	2	3	37
-5	1	0.9	21	0	296	0	2	2	43
-5	1	0.9	21	0	380	0	2	2	43
-5	1	0.9	21	1	296	0	1	1	36
-5	1	0.9	21	1	380	0	1	1	36
-5	1	0.9	30	0	296	0	1	1	40
-5	1	0.9	30	0	380	0	1	1	40
-5	1	0.9	30	1	296	0	1	1	37
-5	1	0.9	30	1	380	0	1	1	37
-5	1	0.9	41	0	296	0	1	1	42
-5	1	0.9	41	0	380	0	1	1	42
-5	1	0.9	41	1	296	0	3	4	37
-5	1	0.9	41	1	380	0	3	4	37
-4	0	0.0	0	0	296	0	0	0	70
-4	0	0.0	0	0	380	0	0	0	70
-4	0	0.0	0	1	296	0	1	1	58
-4	0	0.0	0	1	380	0	1	1	58
-4	0	0.0	10	0	296	0	2	2	73
-4	0	0.0	10	0	380	0	2	2	73
-4	0	0.0	10	1	296	0	1	1	58
-4	0	0.0	10	1	380	0	1	1	58
-4	0	0.0	21	0	296	0	1	1	72
-4	0	0.0	21	0	380	0	1	1	72
-4	0	0.0	21	1	296	0	0	0	58
-4	0	0.0	21	1	380	0	0	0	58
-4	0	0.0	30	0	296	0	1	1	69
-4	0	0.0	30	0	380	0	1	1	69
-4	0	0.0	30	1	296	0	0	0	58
-4	0	0.0	30	1	380	0	0	0	58
-4	0	0.0	41	0	296	0	1	1	71
-4	0	0.0	41	0	380	0	1	1	71
-4	0	0.0	41	1	296	0	0	0	58
-4	0	0.0	41	1	380	0	0	0	58
-4	0	0.1	0	0	296	0	3	3	72
-4	0	0.1	0	0	380	0	3	3	72
-4	0	0.1	0	1	296	0	0	0	58
-4	0	0.1	0	1	380	0	0	0	58
-4	0	0.1	10	0	296	0	3	4	69
-4	0	0.1	10	0	380	0	3	4	69
-4	0	0.1	10	1	296	0	1	1	57
-4	0	0.1	10	1	380	0	1	1	57
-4	0	0.1	21	0	296	0	2	2	71
-4	0	0.1	21	0	380	0	2	2	71
-4	0	0.1	21	1	296	0	1	1	58
-4	0	0.1	21	1	380	0	1	1	58
-4	0	0.1	30	0	296	0	1	1	72
-4	0	0.1	30	0	380	0	1	1	72
-4	0	0.1	30	1	296	0	0	0	58
-4	0	0.1	30	1	380	0	0	0	58
-4	0	0.1	41	0	296	0	0	0	72
-4	0	0.1	41	0	380	0	0	0	72
-4	0	0.1	41	1	296	0	1	1	58
-4	0	0.1	41	1	380	0	1	1	58
-4	0	0.2	0	0	296	0	1	1	72
-4	0	0.2	0	0	380	0	1	1	72
-4	0	0.2	0	1	296	0	1	1	57
-4	0	0.2	0	1	380	0	1	1	57
-4	0	0.2	10	0	296	0	3	4	70
-4	0	0.2	10	0	380	0	3	4	70
-4	0	0.2	10	1	296	0	2	2	59
-4	0	0.2	10	1	380	0	2	2	59
-4	0	0.2	21	0	296	0	5	6	72
-4	0	0.2	21	0	380	0	5	6	72
-4	0	0.2	21	1	296	0	1	1	57
-4	0	0.2	21	1	380	0	1	1	57
-4	0	0.2	30	0	296	0	1	4	71
-4	0	0.2	30	0	380	0	1	4	71
-4	0	0.2	30	1	296	0	1	1	59
-4	0	0.2	30	1	380	0	1	1	59
-4	0	0.2	41	0	296	0	1	1	71
-4	0	0.2	41	0	380	0	1	1	71
-4	0	0.2	41	1	296	0	1	1	60
-4	0	0.2	41	1	380	0	1	1	60
-4	0	0.3	0	0	296	0	2	2	71
-4	0	0.3	0	0	380	0	2	2	71
-4	0	0.3	0	1	296	0	2	4	56
-4	0	0.3	0	1	380	0	2	4	56
-4	0	0.3	10	0	296	0	4	4	73
-4	0	0.3	10	0	380	0	4	4	73
-4	0	0.3	10	1	296	0	2	2	57
-4	0	0.3	10	1	380	0	2	2	57
-4	0	0.3	21	0	296	0	2	2	72
-4	0	0.3	21	0	380	0	2	2	72
-4	0	0.3	21	1	296	0	6	6	55
-4	0	0.3	21	1	380	0	6	6	55
-4	0	0.3	30	0	296	0	1	2	73
-4	0	0.3	30	0	380	0	1	2	73
-4	0	0.3	30	1	296	0	2	2	58
-4	0	0.3	30	1	380	0	2	2	58
-4	0	0.3	41	0	296	0	4	5	74
-4	0	0.3	41	0	380	0	4	5	74
-4	0	0.3	41	1	296	0	4	4	57
-4	0	0.3	41	1	380	0	4	4	57
-4	0	0.4	0	0	296	0	4	8	69
-4	0	0.4	0	0	380	0	4	8	69
-4	0	0.4	0	1	296	0	0	0	58
-4	0	0.4	0	1	380	0	0	0	58
-4	0	0.4	10	0	296	0	0	0	74
