decalage	unique	phase	marge	rx_avant	daram_len	vraies	crc_ok	sb_tentees	fb_acceptees
-3	1	0.4	41	1	296	0	2	29	58
-3	1	0.4	41	1	380	0	2	29	58
-3	1	0.5	0	0	296	0	3	37	76
-3	1	0.5	0	0	380	0	3	37	76
-3	1	0.5	0	1	296	0	2	29	60
-3	1	0.5	0	1	380	0	2	29	60
-3	1	0.5	10	0	296	0	2	36	74
-3	1	0.5	10	0	380	0	2	36	74
-3	1	0.5	10	1	296	0	1	28	60
-3	1	0.5	10	1	380	0	1	28	60
-3	1	0.5	21	0	296	0	3	38	78
-3	1	0.5	21	0	380	0	3	38	78
-3	1	0.5	21	1	296	0	1	29	60
-3	1	0.5	21	1	380	0	1	29	60
-3	1	0.5	30	0	296	0	1	37	77
-3	1	0.5	30	0	380	0	1	37	77
-3	1	0.5	30	1	296	0	1	29	60
-3	1	0.5	30	1	380	0	1	29	60
-3	1	0.5	41	0	296	0	1	38	78
-3	1	0.5	41	0	380	0	1	38	78
-3	1	0.5	41	1	296	0	1	29	59
-3	1	0.5	41	1	380	0	1	29	59
-3	1	0.6	0	0	296	0	1	38	77
-3	1	0.6	0	0	380	0	1	38	77
-3	1	0.6	0	1	296	0	1	29	61
-3	1	0.6	0	1	380	0	1	29	61
-3	1	0.6	10	0	296	0	2	35	73
-3	1	0.6	10	0	380	0	2	35	73
-3	1	0.6	10	1	296	0	1	29	59
-3	1	0.6	10	1	380	0	1	29	59
-3	1	0.6	21	0	296	0	1	37	76
-3	1	0.6	21	0	380	0	1	37	76
-3	1	0.6	21	1	296	0	1	28	59
-3	1	0.6	21	1	380	0	1	28	59
-3	1	0.6	30	0	296	0	1	37	76
-3	1	0.6	30	0	380	0	1	37	76
-3	1	0.6	30	1	296	0	1	29	59
-3	1	0.6	30	1	380	0	1	29	59
-3	1	0.6	41	0	296	0	1	36	76
-3	1	0.6	41	0	380	0	1	36	76
-3	1	0.6	41	1	296	0	1	29	59
-3	1	0.6	41	1	380	0	1	29	59
-3	1	0.7	0	0	296	0	1	37	75
-3	1	0.7	0	0	380	0	1	37	75
-3	1	0.7	0	1	296	0	2	30	62
-3	1	0.7	0	1	380	0	2	30	62
-3	1	0.7	10	0	296	0	1	38	78
-3	1	0.7	10	0	380	0	1	38	78
-3	1	0.7	10	1	296	0	2	30	61
-3	1	0.7	10	1	380	0	2	30	61
-3	1	0.7	21	0	296	0	1	38	78
-3	1	0.7	21	0	380	0	1	38	78
-3	1	0.7	21	1	296	0	2	29	61
-3	1	0.7	21	1	380	0	2	29	61
-3	1	0.7	30	0	296	0	1	41	83
-3	1	0.7	30	0	380	0	1	41	83
-3	1	0.7	30	1	296	0	1	30	61
-3	1	0.7	30	1	380	0	1	30	61
-3	1	0.7	41	0	296	0	1	41	83
-3	1	0.7	41	0	380	0	1	41	83
-3	1	0.7	41	1	296	0	2	30	61
-3	1	0.7	41	1	380	0	2	30	61
-3	1	0.8	0	0	296	0	2	37	77
-3	1	0.8	0	0	380	0	2	37	77
-3	1	0.8	0	1	296	0	1	29	60
-3	1	0.8	0	1	380	0	1	29	60
-3	1	0.8	10	0	296	0	1	37	76
-3	1	0.8	10	0	380	0	1	37	76
-3	1	0.8	10	1	296	0	2	29	59
-3	1	0.8	10	1	380	0	2	29	59
-3	1	0.8	21	0	296	0	1	38	78
-3	1	0.8	21	0	380	0	1	38	78
-3	1	0.8	21	1	296	0	2	29	60
-3	1	0.8	21	1	380	0	2	29	60
-3	1	0.8	30	0	296	0	2	38	78
-3	1	0.8	30	0	380	0	2	38	78
-3	1	0.8	30	1	296	0	1	29	60
-3	1	0.8	30	1	380	0	1	29	60
-3	1	0.8	41	0	296	0	5	37	76
-3	1	0.8	41	0	380	0	5	37	76
-3	1	0.8	41	1	296	0	3	29	60
-3	1	0.8	41	1	380	0	3	29	60
-3	1	0.9	0	0	296	0	2	35	71
-3	1	0.9	0	0	380	0	2	35	71
-3	1	0.9	0	1	296	0	1	29	59
-3	1	0.9	0	1	380	0	1	29	59
-3	1	0.9	10	0	296	0	2	37	77
-3	1	0.9	10	0	380	0	2	37	77
-3	1	0.9	10	1	296	0	1	29	60
-3	1	0.9	10	1	380	0	1	29	60
-3	1	0.9	21	0	296	0	2	36	75
-3	1	0.9	21	0	380	0	2	36	75
